鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,floor,parking,parking_price
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1080903,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.47,3,2,2,有,有,12800000,86783,坡道平面,47.26,1500000,,RPRQMLRJKHPFFAH78CA,13,1,4101364.5799999996
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1080719,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.47,3,2,2,有,有,13000000,88319,坡道平面,47.26,1500000,,RPSQMLRJKHPFFAH88CA,13,1,4173955.94
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1081030,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.47,3,2,2,有,有,14750000,100991,坡道平面,47.26,1600000,,RPTQMLRJKHPFFAH98CA,13,1,4772834.66
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1080603,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.51999999999998,3,2,2,有,有,13400000,91356,坡道平面,47.26,1500000,,RPUQMLRJKHPFFAH09CA,13,1,4317484.56
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1080505,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.51999999999998,3,2,2,有,有,13320000,90742,坡道平面,47.26,1500000,,RPVQMLRJKHPFFAH56CA,13,1,4288466.92
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1080316,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.51999999999998,3,2,2,有,有,13320000,90742,坡道平面,47.26,1500000,,RPWQMLRJKHPFFAH66CA,13,1,4288466.92
桃園區,房地(土地+建物),桃園市桃園區大興西路一段301~330號,13.14,住,,,1081228,土地1建物1車位0,三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860701,112.28,3,2,2,有,有,7550000,67243,,0.0,0,,RPROMLMKKHPFFAH18CA,17,0,0.0
中壢區,房地(土地+建物),桃園市中壢區九和三街1~30號,15.41,住,,,1081231,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870804,131.09,4,2,2,有,有,9000000,68655,,0.0,0,,RPRRNLRKKHPFFBH56CA,15,0,0.0
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金山街275巷1~30號,22.54,住,,,1090109,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040925,153.61,3,2,2,有,無,6800000,44268,坡道平面,0.0,0,,RPUOMLMLJHPFFDH78CA,15,1,0.0
八德區,房地(土地+建物)+車位,桃園市八德區建德路241~270號,28.21,住,,,1081201,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040420,157.92000000000002,3,2,2,有,有,7830000,49582,坡道平面,22.49,0,,RPWNMLLMJHPFFFH09CA,15,1,1115099.18
八德區,房地(土地+建物)+車位,桃園市八德區金和路61~90號,11.09,其他,,,1081224,土地1建物1車位1,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040827,152.81,3,2,2,有,有,12480000,81675,坡道平面,16.13,0,,RPSNMLQJKHPFFFH98CA,23,1,1317417.75
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路31~60號,34.58,住,,,1080312,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,219.55,3,2,2,有,有,12700000,61190,坡道平面,37.33,1550000,,RPTNMLKMJHPFFHH88CA,14,1,2284222.6999999997
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路31~60號,27.88,住,,,1070916,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,187.57999999999998,3,2,2,有,有,10350000,59333,坡道平面,40.95,1650000,,RPUNMLKMJHPFFHH98CA,14,1,2429686.35
